opt-yellow,yellow,geel,أصفر,жоўты,жълт,groc,黄色,黃色,žut,žlutý,gul,geel,yellow,kollane,dilaw,keltainen,jaune,gelb,κίτρινος,צהוב,पीला,sárga,giallo,黄色,황색,dzeltens,geltonas,kuning,gul,زرد,żółty,amarelo,amarelo,galben,желтый,жут,žltý,rumena,amarillo,amarillo,njano,gul,สีเหลือง,sarı,жовтий,vàng
opt-lime,lime,kalk,كلس,вапна,вар,calç,石灰,石灰,vapno,vápno,lime,kalk,lime,lubi,apog,kalkki,lime,Kalk,ασβέστης,סיד,चूना,lime,calce,ライム,석회,kaļķi,kalkės,limau,lime,اهک,wapno,cal,cal,var,известь,креч,vápno,apno,cal,cal,chokaa,lime,มะนาว,kireç,вапно,vôi
opt-green,green,groen,أخضر,зялёны,зелен,verd,绿色,綠色,zelen,zelený,grøn,groen,green,roheline,berde,vihreä,vert,grün,πράσινος,ירוק,ग्रीन,zöld,verde,緑,녹색,zaļš,žalias,hijau,grønn,سبز,zielony,verde,verde,verde,зеленый,зелен,zelený,zelena,verde,verde,kijani,grön,สีเขียว,yeşil,зелений,xanh
opt-aqua,aqua,Aqua,اكوا,вада,аква,aigua,旱厕,旱廁,vodeni,aqua,aqua,aqua,aqua,vesi,aqua,aqua,d'aqua,aqua,aqua,אקווה,एक्वा,aqua,aqua,アクア,아쿠아,aqua,vandens,aqua,aqua,اب,turkusowy,água,água,apă,вода,Акуа,aqua,aqua,agua,agua,aqua,aqua,น้ำ,su,вода,"thủy sản"
opt-blue,blue,blou,أزرق,сіні,син,blau,蓝色,藍色,plav,modrý,blå,blauw,blue,sinine,asul,sininen,bleu,blau,μπλε,כחול,नीला,kék,blu,青,푸른,zils,mėlynas,biru,blå,ابی,niebieski,azul,azul,albastru,синий,плава,modrý,modra,azul,azul,bluu,blå,สีน้ำเงิน,mavi,синій,"màu xanh"
opt-purple,purple,pers,أرجواني,фіялетавы,пурпурен,porpra,紫色,紫色,"ljubičasta boja",nachový,lilla,purper,purple,purpurne,lila,violetti,pourpre,lila,μωβ,סגול,बैंगनी,lila,viola,紫,자,purpurs,purpurinis,ungu,lilla,"رنگ ارغوانی",purpurowy,roxo,roxo,purpuriu,фиолетовый,љубичаста,purpurový,vijolična,púrpura,púrpura,zambarau,lila,สีม่วง,mor,фіолетовий,"màu tím"
opt-brown,brown,bruin,أسمر,карычневы,кафяв,marró,棕色,棕色,braon,hnědý,brun,bruin,brown,pruun,kayumanggi,ruskea,brun,braun,καφέ,חום,ब्राउन,barna,rosolare,ブラウン,갈색,brūns,rudas,coklat,brun,قهوهای,brązowy,marrom,marrom,maro,коричневый,браон,hnedý,rjava,marrón,marrón,kahawia,brun,สีน้ำตาล,kahverengi,коричневий,nâu
opt-black,black,swart,أسود,чорны,черен,negre,黑色,黑色,crn,černý,black,zwart,black,must,itim,musta,noir,schwarz,μαύρος,שחור,काला,fekete,nero,黒,검정,melns,juodas,hitam,svart,سیاه,czarny,preto,preto,negru,черный,црн,čierny,črna,negro,negro,nyeusi,svart,สีดำ,siyah,чорний,đen
opt-grey,grey,grys,رمادي,шэры,сив,gris,灰色,灰色,"sive boje",šedá,grå,grijs,grey,hall,kulay-abo,harmaa,gris,grau,γκρί,אפור,ग्रे,szürke,grigio,グレー,회색,pelēks,pilkas,kelabu,grå,خاکستری,szary,cinza,cinza,gri,серый,сив,šedá,siva,gris,gris,kijivu,grå,สีเทา,gri,сірий,"màu xám"
opt-white,white,wit,أبيض,белы,бял,blanc,白,白,bijel,bílý,hvid,wit,white,valge,puti,valkoinen,blanc,weiß,λευκό,לבן,सफ़ेद,fehér,bianco,白,화이트,balts,baltas,putih,hvit,سفید,biały,branco,branco,alb,белый,бео,biely,bela,blanco,blanco,nyeupe,vit,ขาว,beyaz,білий,trắng
pri-alpha,Opacity:,ondeursigtigheid:,ألفا:,непразрыстасць:,непрозрачност:,Opacitat:,不透明度：,不透明度：,Neprozirnosti:,Krytí:,opacitet:,Dekking:,Opacity:,läbipaistmatus:,opacity:,Peittävyys:,opacité:,Deckkraft:,Αδιαφάνεια:,אטימות:,अस्पष्टता:,Átlátszatlanság:,opacità:,不透明度：,"불투명도 :",necaurredzamība:,Skaidrumas:,kelegapan:,opacity:,تاری:,Krycie:,opacidade:,opacidade:,opacitate:,Непрозрачность:,Опацити:,krytie:,motnost:,Opacidad:,Opacidad:,opacity:,Opacitet:,ความทึบ:,Saydamlık:,непрозорість:,Opacity:
sec-alpha,"From 0 (transparent) to 100 (opaque)","Van 0 (deursigtige) tot 100 (ondeursigtig)","من 0 (شفاف) إلى 100 (مبهمة)","Ад 0 (празрысты) да 100 (непразрысты)","От 0 (прозрачни) до 100 (непрозрачна)","A partir de 0 (transparent) a 100 (opac)",从0（透明）到100（不透明）,從0（透明）到100（不透明）,"Od 0 (prozirna) do 100 (neprozirni)","Od 0 (průhledná) do 100 (neprůhledná)","Fra 0 (gennemsigtig) til 100 (uigennemsigtig)","Van 0 (transparant) tot 100 (ondoorzichtig)","From 0 (transparent) to 100 (opaque)","0 (läbipaistev) kuni 100 (läbipaistmatu)","Mula 0 (transparent) sa 100 (opaque)","0 (läpinäkyvä) ja 100 (läpinäkymätön)","De 0 (transparent) à 100 (opaque)","Von 0 (transparent) bis 100 (undurchsichtig)","Από 0 (διαφανές) έως 100 (αδιαφανές)","בין 0 (שקוף) ל -100 (אטום)","0 (पारदर्शी) से 100 (अपारदर्शी) को","0-tól (átlátszó) és 100 (nem átlátszó)","Da 0 (trasparente) a 100 (opaco)",0（透明）から100（不透明）へ,"0 (투명)에서 100 (불투명)","No 0 (caurspīdīgs) līdz 100 (necaurspīdīgs)","Nuo 0 (skaidri) iki 100 (nepermatomos)","Dari 0 (telus) kepada 100 (kabur)","Fra 0 (gjennomsiktig) til 100 (ugjennomsiktig)","از 0 (شفاف) تا 100 (مات)","Od 0 (przezroczyste) do 100 (nieprzezroczysta)","De 0 (transparente) a 100 (opaco)","De 0 (transparente) a 100 (opaco)","De la 0 (transparente) și 100 (opac)","От 0 (прозрачный) до 100 (непрозрачный)","Од 0 (транспарентна) до 100 (непрозирна)","Od 0 (priehľadná) do 100 (nepriehľadná)","Od 0 (transparentna) do 100 (nepregledna)","A partir de 0 (transparente) a 100 (opaco)","A partir de 0 (transparente) a 100 (opaco)","Kutoka 0 (uwazi) hadi 100 (kiza)","Från 0 (genomskinlig) till 100 (ogenomskinligt)","ตั้งแต่ 0 (โปร่งใส) ถึง 100 (ทึบแสง)","0 (saydam) 100 (opak)","Від 0 (прозорий) до 100 (непрозорий)","Từ 0 (trong suốt) đến 100 (không rõ ràng)"
pri-x-min,"X Minimum:","X Minimum:","X الحد الأدنى:","X Мінімальныя:","X Минимум:","X mínima:",X最低：,X最低：,"X Minimum:","X Minimum:","X Minimum:","X Minimum:","X Minimum:","X Miinimum:","X Minimum:","X Minimi:","X minimum:","X Minimum:","X Ελάχιστη:","X מינימאלי:","एक्स न्यूनतम:","X Minimum:","X minima:",X最小：,"X 최소 :","X Minimālā:","X Minimalus:","X Minimum:","X Minimum:","X حداقل:","X Minimum:","X mínima:","X mínima:","X minimă:","X Минимальные:","Кс Минимални:","X Minimum:","X Minimum:","X mínima:","X mínima:","X Kima cha chini:","X Minst:","X ขั้นต่ำ:","X Minimum:","X Мінімальні:","X tối thiểu:"
sec-x-min,"The lowest X data point","Die laagste punt X ​​data","أدنى نقطة البيانات X","Самая нізкая кропка дадзеных X","Най-ниската точка X данни","El punt més baix de dades X",X数据最低点,X數據最低點,"Najniži X podaci ukazuju","Nejnižší X datový bod","Den laveste X datapunkt","De laagste X datapunt","The lowest X data point","Madalaim X andmepunkti","Ang pinakamababang X data ng punto","Alin X datapisteessä","Le point le plus bas des données X","Die niedrigste X Datenpunkt","Το χαμηλότερο σημείο X δεδομένων","נקודת נתונים הנמוכה ביותר X","सबसे कम एक्स डेटा बिंदु","A legalacsonyabb X adatpont","Il punto più basso di dati X",最低のXデータポイント,"낮은 X 데이터 포인트","Zemākais X datu punkts","Mažiausia X duomenys rodo","Terendah X titik data","Den laveste X datapunkt","پایین ترین نقطه داده در X","Najniższa X punkt danych","O ponto mais baixo de dados X","O ponto mais baixo de dados X","Cel mai mic punct de date X","Самая низкая точка данных X","Кс најнижа тачка података","Najnižší X dátový bod","Najnižja podatki kažejo X","El punto más bajo de datos X","El punto más bajo de datos X","Chini X data point","Den lägsta X datapunkt","จุดต่ำสุด X ข้อมูล","En düşük X veri noktası","Найнижча точка даних X","Thấp nhất điểm dữ liệu X"
pri-x-max,"X Maximum:","X Maksimum:","X القصوى:","X Максімум:","X Максимум:","X màxima:",乘以最大：,乘以最大：,"Maksimalna X:","X Maximum:","X Maksimum:","X Maximum:","X Maximum:","X Maksimaalselt:","X Maximum:","X Maksimi:","X maximum:","X Maximum:","X Μέγιστη:","X מרבי:","एक्स अधिकतम:","X Maximum:","X Massimo:",X最大：,"X 최대 :","X Maksimālais:","X Daugiausia:","X maksimum:","X Maximum:","X حداکثر:","X Maksymalna:","X máximo:","X máximo:","X maximă:","X Максимум:","Максимална Кс:","X Maximum:","X Največ:","X máxima:","X máxima:","X Upeo:","X Maximum:","X สูงสุด:","X Maksimum:","X Максимум:","X tối đa:"
sec-x-max,"The highest X data point","Die hoogste X data punt","أعلى نقطة البيانات X","Самая высокая кропка дадзеных X","Най-високата точка X данни","El major punt de dades X",X数据最高点,X數據最高點,"Najviša točka X podataka","Nejvyšší X datový bod","Det højeste X datapunkt","De hoogste X datapunt","The highest X data point","Kõrgeim X andmepunkti","Ang pinakamataas na X data ng punto","Korkein X datapisteessä","Le point culminant de données X","Die höchste X Datenpunkt","Το υψηλότερο σημείο X δεδομένων","נקודת נתונים X הגבוהה ביותר","उच्चतम एक्स डेटा बिंदु","A legmagasabb X adatpont","Il punto più alto di dati X",最高のXデータポイント,"높은 X 데이터 포인트","Augstākais X datu punkts","Aukščiausios X duomenys rodo","The X tertinggi titik data","Den høyeste X datapunkt","بالاترین نقطه X اطلاعات","Najwyższy punkt danych X","O ponto de dados X maior","O ponto de dados X maior","Cel mai înalt punct de date X","Самая высокая точка данных X","Највиша тачка података Кс","Najvyšší X dátový bod","Najvišja X podatki kažejo","El mayor punto de datos X","El mayor punto de datos X","Juu X data point","Den högsta X datapunkt","X จุดที่สูงที่สุดข้อมูล","En yüksek X veri noktası","Найвища точка даних X","Các điểm dữ liệu X cao nhất"
pri-y-min,"Y Minimum:","Y Minimum:","Y الحد الأدنى:","Y Мінімальныя:","Y Минимум:","I mínima:",Y最小：,Y最小：,"Y Minimalna:","Y Minimum:","Y Minimum:","Y Minimum:","Y Minimum:","Y Miinimum:","Y Minimum:","Y Minimi:","Y minimum:","Y Minimum:","Y Ελάχιστη:","מינימום Y:","वाई न्यूनतम:","Y Minimum:","Y minima:",Y最小：,"Y 최소 :","Y Minimālais:","Metai Minimalus:","Y Minimum:","Y Minimum:","Y حداقل:","Minimum Y:","Y mínima:","Y mínima:","Y minimă:","Y Минимальные:","И Минимални:","Y Minimum:","Y Minimum:","Y mínima:","Y mínima:","Y Kima cha chini:","Y Minst:","ขั้นต่ำ Y:","Y Minimum:","Y Мінімальні:","Y tối thiểu:"
sec-y-min,"The lowest Y data point","Die laagste punt Y data","أدنى نقطة البيانات Y","Самая нізкая кропка дадзеных Y","Най-ниската точка Y данни","El punt més baix de dades I",最低的Y数据点,最低的Y數據點,"Najniži Y podaci ukazuju","Nejnižší Y datového bodu","Den laveste Y datapunkt","De laagste Y datapunt","The lowest Y data point","Madalaim Y andmepunkti","Ang pinakamababang Y data ng punto","Alin Y datapisteessä","Le point le plus bas de données Y","Die niedrigste Y Datenpunkt","Το χαμηλότερο σημείο Y δεδομένων","נקודת נתונים Y הנמוכה ביותר","सबसे कम वाई डेटा बिंदु","A legalacsonyabb Y adatpont","Il punto più basso di dati Y",最小のYデータポイント,"낮은 Y 데이터 포인트","Zemākais Y datu punkts","Mažiausia Metai duomenys rodo","The Y terendah titik data","Den laveste Y datapunkt","پایین ترین نقطه Y اطلاعات","Dane Y Najniższy punkt","O ponto mais baixo de dados Y","O ponto mais baixo de dados Y","Cel mai mic punct de date Y","Самая низкая точка данных Y","Најнижа тачка података И","Najnižšia Y dátového bodu","Najnižja točka Y podatki","El punto más bajo de datos Y","El punto más bajo de datos Y","Chini Y data point","Den lägsta Y datapunkt","Y จุดต่ำสุดข้อมูล","En düşük Y veri noktası","Найнижча точка даних Y","Thấp nhất điểm dữ liệu Y"
pri-y-max,"Y Maximum:","Y Maksimum:","Y القصوى:","Y Максімум:","Y Максимум:","I Màxim:",Y最大：,Y最大：,"Y Maksimalna:","Y Maximum:","Y Maksimum:","Y Maximum:","Y Maximum:","Y Maksimum:","Y Maximum:","Y Maksimi:","Y maximale:","Y Maximum:","Y Μέγιστη:","Y המרבי:","वाई अधिकतम:","Y Maximum:","Si Massima:",Y最大：,"Y 최대 :","Jā Maksimālais:","Metai Daugiausia:","Y maksimum:","Y Maximum:","حداکثر Y:","Y Maksymalna:","Y máximo:","Y máximo:","Y maximă:","Y Максимум:","Максимална И:","Y Maximum:","Y Največ:","Y Máximo:","Y Máximo:","Y Upeo:","Y Maximum:","สูงสุด Y:","Y Maksimum:","Y Максимум:","Y tối đa:"
sec-y-max,"The highest Y data point","Die hoogste Y data punt","أعلى نقطة البيانات Y","Самая высокая кропка дадзеных Y","Най-високата точка Y данни","El major punt de dades I",Y数据最高点,Y數據最高點,"Najviša točka Y podataka","Nejvyšší Y datového bodu","Den højeste Y datapunkt","De hoogste Y datapunt","The highest Y data point","Kõrgeim Y andmepunkti","Ang pinakamataas Y data ng punto","Korkein Y datapisteessä","Le point culminant de données Y","Die höchste Y Datenpunkt","Το υψηλότερο σημείο Y δεδομένων","נקודת נתונים Y הגבוהה ביותר","उच्चतम वाई डेटा बिंदु","A legmagasabb Y adatpont","Il punto più alto di dati Y",最高Yデータポイント,"높은 Y 데이터 포인트","Augstākais Y datu punkts","Aukščiausios Metai duomenys rodo","The Y tertinggi titik data","Den høyeste Y datapunkt","بالاترین نقطه Y اطلاعات","Najwyższy punkt danych Y","O ponto mais alto de dados Y","O ponto mais alto de dados Y","Cel mai înalt punct de date Y","Самая высокая точка данных Y","Највиша тачка података И","Najvyššia Y dátového bodu","Najvišja Y podatki kažejo","El mayor punto de datos Y","El mayor punto de datos Y","Juu Y data point","Den högsta Y datapunkt","Y จุดที่สูงที่สุดข้อมูล","En yüksek Y veri noktası","Найвища точка даних Y","Các điểm dữ liệu Y cao nhất"
pri-size-x,"Horizontal Resolution:","Horisontale resolusie:","أفقي القرار:","Дазвол па гарызанталі:","Хоризонтална резолюция:","Resolució horitzontal:",水平分辨率：,水平分辨率：,"Horizontalna rezolucija:","Horizontální rozlišení:","Vandret opløsning:","Horizontale resolutie:","Horizontal Resolution:","Horisontaalne resolutsioon:","Pahalang na Resolution:",Vaakaresoluutio:,"Résolution horizontale:","Horizontale Auflösung:","Οριζόντια ανάλυση:","רזולוציה אופקית:","क्षैतिज संकल्प:","Vízszintes felbontás:","Risoluzione orizzontale:",水平解像度：,"수평 한 해결책 :","Horizontālā izšķirtspēja:","Horizontali raiška:","Resolusi Mendatar:","Horisontal oppløsning:","تفکیکپذیری افقی:","Rozdzielczość pozioma:","Resolução Horizontal:","Resolução Horizontal:","Rezolutie orizontala:","Разрешение по горизонтали:","Хоризонтална резолуција:","Horizontálne rozlíšenie:","Horizontalna resolucija:","Resolución horizontal:","Resolución horizontal:","Usawa Azimio:","Horisontell upplösning:",ความละเอียดแนวนอน:,"Yatay Çözünürlük:","Дозвіл по горизонталі:","Độ phân giải ngang:"
sec-size-x,"Number of pixels in the x dimension","Aantal pixels in die x dimensie","عدد وحدات البكسل في X البعد","Колькасць пікселяў ў вымярэнні х","Брой пиксели в измерение х","Nombre de píxels en la dimensió x",的像素数在x维度,的像素數在x維度,"Broj piksela u dimenzijom x","Počet pixelů v rozmezí X","Antallet af pixels i x dimension","Aantal pixels in de x dimensie","Number of pixels in the x dimension","Pikslite arv x mõõde","Bilang ng mga pixels sa sukat x","Kuvapisteiden määrä x ulottuvuus","Nombre de pixels dans la dimension x","Anzahl der Pixel in der x-Richtung","Αριθμό των pixels στη διάσταση x","מספר הפיקסלים בממד X","एक्स आयाम में पिक्सेल की संख्या","Képpontok száma az x dimenzió","Numero di pixel nella dimensione x",x次元の画素数,"X 치수의 픽셀 수","Pikseļu skaits ar x dimensijā","Taškų pikselių x dimensiją","Bilangan piksel dalam dimensi x","Antall piksler i x dimensjon","تعداد پیکسل در بعد X","Liczba pikseli w wymiarze x","Número de pixels na dimensão x","Número de pixels na dimensão x","Numărul de pixeli în dimensiune x","Количество пикселей в измерении х","Број пиксела у димензији к","Počet pixelov v rozmedzí X","Število točk v x razsežnosti","Número de píxeles en la dimensión x","Número de píxeles en la dimensión x","Idadi ya saizi katika mwelekeo x","Antal bildpunkter i x-dimensionen","จำนวนของพิกเซลในมิติ x","X boyutta piksel sayısı","Кількість пікселів у вимірі х","Số lượng điểm ảnh trong chiều x"
pri-size-y,"Vertical Resolution:","Vertikale resolusie:","الدقة الرأسية:","Дазвол па вертыкалі:","Разрешение по вертикала:","Resolució vertical:",垂直分辨率：,垂直分辨率：,"Okomita razlučivost:","Vertikální rozlišení:","Lodret Opløsning:","Verticale resolutie:","Vertical Resolution:","Vertikaalne resolutsioon:","Vertical Resolution:","Vertical Resolution:","Résolution verticale:","Vertikale Auflösung:","Κάθετη ανάλυση:","רזולוציה אנכית:","कार्यक्षेत्र संकल्प:","Függőleges felbontás:","Risoluzione verticale:",垂直解像度：,"수직 해상도 :","Vertikālā izšķirtspēja:","Vertikali raiška:","Resolusi Menegak:","Vertikal oppløsning:","رزولوشن عمودی:","Rozdzielczość pionowa:","Resolução Vertical:","Resolução Vertical:","Rezoluție verticală:","Разрешение по вертикали:","Вертикална резолуција:","Vertikálne rozlíšenie:","Vertikalna resolucija:","Resolución vertical:","Resolución vertical:","Wima Azimio:","Vertikal upplösning:",ความละเอียดแนวตั้ง:,"Dikey Çözünürlük:","Дозвіл по вертикалі:","Độ phân giải theo chiều dọc:"
sec-size-y,"Number of pixels in the y dimension","Aantal pixels in die y dimensie","عدد وحدات البكسل في البعد Y","Колькасць пікселяў ў вымярэнні ў","Брой пиксели в измерението Y","Nombre de píxels en la dimensió i",的y维度中的像素数,的y維度中的像素數,"Broj piksela u dimenzijom y","Počet pixelů v dimenzi y","Antallet af pixels i y dimension","Aantal pixels in de y dimensie","Number of pixels in the y dimension","Pikslite arv y mõõde","Bilang ng mga pixels sa sukat y","Pikseleiden y ulottuvuus","Nombre de pixels dans la dimension y","Anzahl der Pixel in der y-Richtung","Αριθμό των pixels στη διάσταση y","מספר הפיקסלים בממד Y","वाई आयाम में पिक्सेल की संख्या","Képpontok száma az y dimenzióban","Numero di pixel nella dimensione y",y次元における画素数,"Y 치수의 픽셀 수","Pikseļu skaits ir y dimensijā","Taškų skaičius y dimensiją","Bilangan piksel dalam dimensi y","Antall piksler i y dimensjon","تعداد پیکسل در بعد Y","Liczba pikseli w wymiarze r","Número de pixels na dimensão y","Número de pixels na dimensão y","Numărul de pixeli în dimensiune y","Количество пикселей в измерении у","Број пиксела у и димензији","Počet pixelov v dimenzii y","Število točk v smeri y dimenziji","Número de píxeles en la dimensión y","Número de píxeles en la dimensión y","Idadi ya saizi katika mwelekeo y","Antal bildpunkter i y dimensionen","จำนวนของพิกเซลในมิติ y","Y boyutu piksel sayısı","Кількість пікселів у вимірі у","Số lượng điểm ảnh trong các kích thước y"
pri-grid-x,"Vertical Grid Points:","Vertikale Grid punte:","عمودي نقاط الشبكة:","Вертыкальныя кропкамі сеткі:","Вертикални Точки Грид:","Vertical Grid Points:",垂直网格点：,垂直網格點：,"Vertikalni Grid Bodovi:","Vertikální Grid Body:","Lodrette Grid Points:","Verticale Grid Punten:","Vertical Grid Points:","Vertikaalne Grid Punkte:","Vertical Grid Mga puntos:",Pystyristikkopisteiden:,"Verticales points de la grille:","Vertical Grid Punkte:","Κάθετη Πλέγμα Σημεία:","נקודות רשת אנכיות:","कार्यक्षेत्र ग्रिड अंक:","Függőleges rács Pontok:","Punti griglia verticale:",垂直グリッドポイント：,"수직 그리드 포인트 :","Vertikālie Grid Punkti:","Vertikalios Grid Taškai:","Tempat Grid Menegak:","Vertikale Grid Poeng:","عمودی مشبک امتیاز:","Pionowe punktów siatki:","Verticais pontos de grade:","Verticais pontos de grade:","Verticale Grid Puncte:","Вертикальные точками сетки:","Вертикалне мрежне тачке:","Vertikálne Grid Body:","Vertikalne Grid Točke:","Vertical Grid Points:","Vertical Grid Points:","Wima Gridi Points:","Vertikalt rutnät Poäng:",ตะแกรงคะแนนแนวตั้ง:,"Dikey Izgara Puanlar:","Вертикальні точками сітки:","Dọc Điểm Grid:"
